"UserName","FirstName","LastName","UserPrincipalName","City","Mail","Institution"
"Ernst Funk","Ernst","Funk","Ernst.Funk@codeclass.local","Erkrath","Ernst Funk@codeclass.local","codeclass"
"Franz Fierlow","Franz","Fierlow","Franz.Fierlow@codeclass.local","Essen","Franz Fierlow@codeclass.local","codeclass"
"Harald Funk","Harald","Funk","Harald.Funk@codeclass.local","Essen","Harald Funk@codeclass.local","codeclass"
"Ferdi Fellner","Ferdi","Fellner","Ferdi.Fellner@codeclass.local","Freiburg","Ferdi Fellner@codeclass.local","codeclass"
"Gerhard Fahrenhorst","Gerhard","Fahrenhorst","Gerhard.Fahrenhorst@codeclass.local","Erlangen","Gerhard Fahrenhorst@codeclass.local","codeclass"
"Gesine Fournier","Gesine","Fournier","Gesine.Fournier@codeclass.local","Essen","Gesine Fournier@codeclass.local","codeclass"
"Hermann Funke","Hermann","Funke","Hermann.Funke@codeclass.local","Enschede","Hermann Funke@codeclass.local","codeclass"
"Gerd Fahrenhorst","Gerd","Fahrenhorst","Gerd.Fahrenhorst@codeclass.local","Erkrath","Gerd Fahrenhorst@codeclass.local","codeclass"
"Gisela Funk","Gisela","Funk","Gisela.Funk@codeclass.local","Enschede","Gisela Funk@codeclass.local","codeclass"
"Geier Fellner","Geier","Fellner","Geier.Fellner@codeclass.local","Fankfurt/Oder","Geier Fellner@codeclass.local","codeclass"
