"Ernst Funk","Ernst","Funk","Ernst.Funk@codeclass.local","Erkrath"
"Franz Fierlow","Franz","Fierlow","Franz.Fierlow@codeclass.local"
"Harald Funk","Harald","Funk","Harald.Funk@codeclass.local","Essen"
"Ferdi Fellner","Ferdi","Fellner","Ferdi.Fellner@codeclass.local","Freiburg"
"Gerhard Fahrenhorst","Gerhard","Fahrenhorst","Gerhard.Fahrenhorst@codeclass.local","Erlangen"
"Gesine Fournier","Gesine","Fournier","Gesine.Fournier@codeclass.local","Essen"
"Hermann Funke","Hermann","Funke","Hermann.Funke@codeclass.local","Enschede"
"Gerd Fahrenhorst","Gerd","Fahrenhorst","Gerd.Fahrenhorst@codeclass.local","Erkrath"
"Gisela Funk","Gisela","Funk","Gisela.Funk@codeclass.local","Enschede"
"Geier Fellner","Geier","Fellner","Geier.Fellner@codeclass.local","Fankfurt/Oder"
